Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Ни шагу назад,3:46,Tanir,Дуэт,10,2014,23.11.2017 2:27,Хип-хоп/рэп,05.06.2014
Мне так жаль (with Jah Khalib & This Blind),3:38,Da Gudda Jazz,По полам,3,2015,23.11.2017 2:26,Хип-хоп/рэп,25.01.2015
Ты и Я,4:14,Da Gudda Jazz,По полам,14,2015,23.11.2017 2:26,Хип-хоп/рэп,25.01.2015
Не закрывай (with Kore & Gudvin),3:46,Da Gudda Jazz,По полам,8,2015,23.11.2017 2:25,Хип-хоп/рэп,25.01.2015
На крыльях любви,3:36,Каста,Быль в глаза,9,2008,23.11.2017 2:20,Хип-хоп/рэп,15.05.2008
Розовое вино,4:07,Элджей & Feduk,Розовое вино - Single,8,2017,19.11.2017 13:56,Hip Hop/Rap,04.08.2017
Не беда,2:54,ATL,Дисторшн - EP,25,2017,17.11.2017 20:25,Хип-хоп/рэп,16.11.2017
Хелта скелта,2:46,ATL,Дисторшн - EP,21,2017,17.11.2017 20:25,Хип-хоп/рэп,16.11.2017
Петля,2:20,ATL,Дисторшн - EP,17,2017,17.11.2017 20:25,Хип-хоп/рэп,16.11.2017
Дисторшн,2:52,ATL,Дисторшн - EP,17,2017,17.11.2017 20:25,Хип-хоп/рэп,16.11.2017
СПВЛ,3:02,ЛСП,Romantic Сolegtion - Single,17,2015,16.11.2017 1:08,Хип-хоп/рэп,29.09.2015
Fireworks,3:34,Beat!Beat!Beat!,Stars EP,4,2009,11.11.2017 11:08,Alternative,09.10.2009
Froze,4:12,Yxng Bane,Froze - Single,4,2017,10.11.2017 13:40,Хип-хоп/рэп,21.10.2017
Lying,3:38,Foreign Air,Lying - Single,3,2017,09.11.2017 19:41,Alternative,13.10.2017
Новая Москва,2:48,Rickey F,Новая Москва - Single,13,2017,09.11.2017 14:24,Hip Hop/Rap,27.10.2017
Молодость всё прощает,3:03,Макс Корж,"Малый повзрослел, Ч. 2",7,2017,06.11.2017 16:55,Хип-хоп/рэп,27.10.2017
Пьяный дождь,3:16,Макс Корж,"Малый повзрослел, Ч. 2",3,2017,06.11.2017 16:55,Хип-хоп/рэп,27.10.2017
Малиновый закат,2:58,Макс Корж,"Малый повзрослел, Ч. 2",7,2017,06.11.2017 16:55,Хип-хоп/рэп,25.10.2017
Оптимист,3:15,Макс Корж,"Малый повзрослел, Ч. 2",23,2017,06.11.2017 16:55,Хип-хоп/рэп,22.08.2017
Напалм,2:20,Макс Корж,"Малый повзрослел, Ч. 2",27,2017,06.11.2017 16:55,Хип-хоп/рэп,25.10.2017
Горы по колено,4:00,Макс Корж,"Малый повзрослел, Ч. 2",20,2017,06.11.2017 16:55,Хип-хоп/рэп,25.10.2017
FUCKBOI,5:42,Jubilee,Emoji FM 2: Ночной эфир,23,2017,03.11.2017 16:39,Hip Hop/Rap,18.02.2017
Kings and Queens,3:47,Graham Candy,Plan A,7,2016,19.10.2017 11:26,Pop,06.05.2016
Glowing in the Dark,3:36,Graham Candy,Plan A,8,2016,19.10.2017 10:23,Поп-музыка,06.05.2016
Back Into It,3:42,Graham Candy,Plan A,50,2016,15.10.2017 2:33,Pop,06.05.2016
SOS,4:29,Jubilee,Emoji FM 3,37,2017,13.10.2017 6:09,Hip Hop/Rap,13.10.2017
Смоки Мо,3:51,Jubilee,Emoji FM 3,41,2017,13.10.2017 5:09,Hip Hop/Rap,13.10.2017
"Лучше, чем у тебя",3:27,Jubilee,Emoji FM 3,36,2017,13.10.2017 5:09,Хип-хоп/рэп,13.10.2017
Тёмная сторона,2:26,Jubilee,Emoji FM 3,32,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
На моих счетах,3:00,Jubilee,Emoji FM 3,33,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Бриллиант,3:49,Jubilee,Emoji FM 3,15,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Завтра будет лучше,2:08,Jubilee,Emoji FM 3,23,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Каждый божий день,3:21,Jubilee,Emoji FM 3,17,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Не будешь спать,2:34,Jubilee,Emoji FM 3,14,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Спасибо,3:19,Jubilee,Emoji FM 3,64,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
Чистое небо,3:36,Jubilee,Emoji FM 3,18,2017,13.10.2017 4:09,Хип-хоп/рэп,13.10.2017
For the Damaged,3:02,Blonde Redhead,Melody of Certain Damaged Lemons,10,2000,05.10.2017 19:21,Alternative,06.06.2000
Ladi Dadi,4:28,Doug E. Fresh,Doug E. Fresh - The Greatest Hits,13,2011,03.10.2017 22:56,Hip Hop/Rap,27.04.2011
Fata Morgana,3:03,MARKUL & Oxxxymiron,Fata Morgana - Single,26,2017,29.09.2017 16:21,Hip Hop/Rap,21.09.2017
Truth,13:30,Kamasi Washington,Harmony of Difference - EP,6,2017,29.09.2017 15:27,Джаз,13.04.2017
Пора возвращаться домой (feat. Oxxxymiron),4:49,Би-2,Горизонт событий,58,2017,29.09.2017 15:21,Рок,29.09.2017
Биполярочка,2:55,Oxxxymiron,Биполярочка - Single,23,2017,29.09.2017 15:21,Хип-хоп/рэп,14.09.2017
Поиск,4:18,Jubilee,Emoji FM 2: Ночной эфир,29,2017,29.09.2017 12:11,Hip Hop/Rap,18.02.2017
Безделье,2:14,Ка тет,Террариум - EP,13,2017,29.09.2017 11:11,Хип-хоп/рэп,28.09.2017
SKILLZ,2:54,Jubilee,Emoji FM 2: Ночной эфир,47,2017,29.09.2017 10:11,Хип-хоп/рэп,18.02.2017
PALACE,3:07,Jubilee,Emoji FM 2: Ночной эфир,10,2017,29.09.2017 10:11,Хип-хоп/рэп,18.02.2017
Глушь,2:33,Ка тет,Террариум - EP,7,2017,29.09.2017 10:11,Хип-хоп/рэп,28.09.2017
Голод,2:30,Ка тет,Террариум - EP,3,2017,29.09.2017 10:11,Хип-хоп/рэп,28.09.2017
Ничего не говори,2:35,Ка тет,Террариум - EP,8,2017,29.09.2017 10:11,Хип-хоп/рэп,28.09.2017
В такт,5:17,Jubilee,Emoji FM,26,2016,29.09.2017 1:31,Хип-хоп/рэп,26.02.2016
Папа снова не придёт домой,5:01,Jubilee,Emoji FM 2: Ночной эфир,28,2017,29.09.2017 0:46,Хип-хоп/рэп,18.02.2017
Жизнь ОСТ,2:59,Jubilee,Emoji FM 2: Ночной эфир,37,2017,29.09.2017 0:41,Хип-хоп/рэп,18.02.2017
Рай,3:27,Jubilee,Emoji FM 2: Ночной эфир,31,2017,29.09.2017 0:37,Хип-хоп/рэп,18.02.2017
Заблудились,3:03,Jubilee,Emoji FM,7,2016,29.09.2017 0:31,Хип-хоп/рэп,26.02.2016
Выпью из головы,4:26,Jubilee,Emoji FM,10,2016,29.09.2017 0:31,Хип-хоп/рэп,26.02.2016
На всех языках,4:09,Jubilee,Emoji FM,12,2016,29.09.2017 0:31,Хип-хоп/рэп,26.02.2016
Киборг,3:52,Jubilee,Emoji FM,12,2016,29.09.2017 0:31,Хип-хоп/рэп,26.02.2016
BRNNNG,2:47,Jubilee,Emoji FM,36,2016,29.09.2017 0:31,Хип-хоп/рэп,26.02.2016
EMO G (feat. Эмелевская),3:14,Jubilee,EMO G (feat. Эмелевская) - Single,7,2016,29.09.2017 0:30,Hip Hop/Rap,02.05.2016
Топ-спин,1:49,Illumate,Топ-спин - Single,11,2017,29.09.2017 0:30,Хип-хоп/рэп,11.02.2017
Я знаю какая ты (feat. Скриптонит & Maqlao),5:00,104 & Truwer,Сафари,6,2017,24.09.2017 18:59,Hip Hop/Rap,22.09.2017
Сайфер (feat. Скриптонит),4:36,104 & Truwer,Сафари,6,2017,24.09.2017 18:59,Хип-хоп/рэп,22.09.2017
"О, музыка",4:22,Антоха МС,Советы для молодожёнов,10,2017,24.09.2017 18:59,Танцевальная музыка,15.09.2017
Изи,4:35,104 & Truwer,Сафари,11,2017,24.09.2017 17:59,Хип-хоп/рэп,22.09.2017
Мерс,3:31,104 & Truwer,Сафари,8,2017,24.09.2017 17:59,Hip Hop/Rap,12.07.2017
Сафари,2:40,104 & Truwer,Сафари,5,2017,24.09.2017 17:59,Хип-хоп/рэп,22.09.2017
За край,4:11,104 & Truwer,Сафари,8,2017,24.09.2017 17:59,Хип-хоп/рэп,22.09.2017
Ещё раз (feat. Benz),3:09,104 & Truwer,Сафари,10,2017,24.09.2017 17:59,Хип-хоп/рэп,22.09.2017
Земля,4:02,Антоха МС,Советы для молодожёнов,8,2017,24.09.2017 17:59,Танцевальная музыка,15.09.2017
Спасибо,4:18,Антоха МС,Советы для молодожёнов,9,2017,24.09.2017 17:59,Танцевальная музыка,15.09.2017
Время ток,3:52,Антоха МС,Советы для молодожёнов,7,2017,24.09.2017 17:59,Танцевальная музыка,15.09.2017
Что диктует горизонт (feat. Boora),3:28,Антоха МС,Советы для молодожёнов,27,2017,24.09.2017 17:59,Dance,15.09.2017
Это лето,4:14,Антоха МС & BMB,Советы для молодожёнов,12,2017,24.09.2017 17:59,Танцевальная музыка,01.09.2017
"Она не такая, как все",3:27,25/17,Ева едет в Вавилон,28,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Скелеты,3:48,25/17,Ева едет в Вавилон,9,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Комната,3:54,25/17,Ева едет в Вавилон,38,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Клыки (feat. Аффинаж),4:14,25/17,Ева едет в Вавилон,16,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Вервольф,4:16,25/17,Ева едет в Вавилон,21,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Торпеда,3:23,25/17,Ева едет в Вавилон,30,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Стриптиз,3:54,25/17,Ева едет в Вавилон,13,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Наше лето (feat. Хаски & Саграда),4:44,25/17,Ева едет в Вавилон,16,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Златовласка (feat. Гарик Сукачёв & Александр Ф. Скляр),3:16,25/17,Ева едет в Вавилон,31,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Моряк (feat. Аффинаж),4:02,25/17,Ева едет в Вавилон,38,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Окурки,3:40,25/17,Ева едет в Вавилон,15,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
Когда воскреснем,4:39,25/17,Ева едет в Вавилон,12,2017,20.09.2017 22:27,Альтернативный рэп,15.09.2017
מבסוט (feat. דקלון),3:51,הדג נחש,זמן להתעורר,10,2013,16.09.2017 20:35,Hip Hop/Rap,21.03.2013
זמן להתעורר,3:48,הדג נחש,זמן להתעורר,24,2013,16.09.2017 19:17,Хип-хоп/рэп,21.03.2013
Где твоя любовь? (feat. Major Lazer),4:00,Скриптонит,Где твоя любовь? (feat. Major Lazer) - Single,32,2017,14.09.2017 12:51,Hip Hop/Rap,15.09.2017
Кислород (feat. L'One),3:11,ATL & L'One,Центр циклона,8,2014,12.09.2017 16:41,Хип-хоп/рэп,02.09.2014
Пьяный мастер (feat. Чаян Фамали),2:25,ATL,Центр циклона,6,2014,12.09.2017 15:41,Хип-хоп/рэп,02.09.2014
Стоунхэндж,2:48,ATL,Центр циклона,11,2014,12.09.2017 15:41,Хип-хоп/рэп,02.09.2014
Фудзи (feat. Луперкаль),3:00,ATL,Центр циклона,4,2014,12.09.2017 15:41,Хип-хоп/рэп,02.09.2014
Мерзлота,3:10,ATL,Центр циклона,9,2014,12.09.2017 15:41,Хип-хоп/рэп,02.09.2014
Туман (feat. Dark Faders),4:06,ATL,Центр циклона,4,2014,12.09.2017 15:41,Хип-хоп/рэп,02.09.2014
Тяжесть,6:15,"Dark Faders, Eecii McFly, ATL, Ka-Tet & Horus",Тяжесть - Single,18,2016,12.09.2017 15:40,Хип-хоп/рэп,06.06.2016
Take Five,5:26,The Dave Brubeck Quartet,Джаз,4,1991,07.09.2017 14:34,Джаз,04.10.1991
1-800-273-8255 (feat. Alessia Cara & Khalid),4:10,Logic,Everybody,10,2017,06.09.2017 22:03,Хип-хоп/рэп,28.04.2017
Ink Blot (feat. Juicy J),2:36,Logic,Everybody,9,2017,06.09.2017 22:03,Хип-хоп/рэп,05.05.2017
"America (feat. Black Thought, Chuck D, Big Lenbo & NO I.D.)",5:31,Logic,Everybody,10,2017,06.09.2017 22:03,Хип-хоп/рэп,05.05.2017
Take It Back,6:40,Logic,Everybody,7,2017,06.09.2017 20:02,Хип-хоп/рэп,05.05.2017
Bouff Daddy,3:25,J Hus,Common Sense,10,2017,05.09.2017 13:03,Hip Hop/Rap,12.05.2017
Живое,3:27,ПИКА,Живое - Single,11,2017,05.09.2017 12:45,Hip Hop/Rap,17.02.2017
Leave Me,3:23,J Hus,Common Sense,12,2017,05.09.2017 12:03,Хип-хоп/рэп,12.05.2017
Goodies,2:52,J Hus,Common Sense,12,2017,04.09.2017 21:13,Хип-хоп/рэп,12.05.2017
Fisherman (feat. MoStack & MIST),2:57,J Hus,Common Sense,7,2017,04.09.2017 16:52,Hip Hop/Rap,12.05.2017
Plottin,2:32,J Hus,Common Sense,7,2017,04.09.2017 14:46,Hip Hop/Rap,28.04.2017
Did You See,3:01,J Hus,Common Sense,18,2017,04.09.2017 14:17,Хип-хоп/рэп,03.03.2017
Sweet Cheeks,3:01,J Hus,Common Sense,15,2017,04.09.2017 14:17,Хип-хоп/рэп,12.05.2017
Lean & Bop (Yonkers Tale and SCNTST Remix),3:56,J Hus,Lean & Bop (Remixes) - EP,10,2015,04.09.2017 11:42,Hip Hop/Rap,13.11.2015
Free Up,3:03,J Hus,Playing Sports - EP,6,2016,04.09.2017 11:40,Hip Hop/Rap,07.10.2016
Friendly,3:55,J Hus,Common Sense,36,2016,04.09.2017 9:09,Hip Hop/Rap,28.04.2017
Confess (feat. Killer Mike),5:43,Logic,Everybody,8,2017,03.09.2017 20:21,Хип-хоп/рэп,05.05.2017
Everybody,2:42,Logic,Everybody,20,2017,03.09.2017 20:14,Хип-хоп/рэп,31.03.2017
Вахтерам,4:01,Бумбокс,Family бізнес,9,2010,03.09.2017 16:54,Pop,01.01.2006
Ascension,3:35,The Comet Is Coming,Death to the Planet - EP,3,2017,28.08.2017 1:52,Electronic,05.05.2017
Сторож,2:44,Лёд 9,Холодная война,6,2011,26.08.2017 14:58,Альтернативный рэп,25.10.2011
Лёд девять,1:42,Лёд 9,Холодная война,5,2011,26.08.2017 14:57,Альтернативный рэп,25.10.2011
Спарта,2:29,Лёд 9,Искушение святого простолюдина,4,2013,26.08.2017 14:53,Альтернативный рэп,02.12.2013
Пыль,4:13,Лёд 9,Искушение святого простолюдина,4,2013,26.08.2017 14:52,Альтернативный рэп,02.12.2013
Во чтобы то ни стало,3:48,Anacondaz,Выходи за меня,17,2017,26.08.2017 8:10,Альтернативный рэп,24.02.2017
Смотри на меня,3:26,Anacondaz,Выходи за меня,9,2017,26.08.2017 7:42,Альтернативный рэп,24.02.2017
Хаос (feat. Pivovarov) [hard version],2:40,Anacondaz,Выходи за меня,40,2017,26.08.2017 7:42,Альтернативный рэп,24.02.2017
БДСМ,3:45,Anacondaz,Выходи за меня,14,2017,26.08.2017 7:41,Альтернативный рэп,24.02.2017
Чего ради,3:35,Anacondaz,Выходи за меня,9,2017,26.08.2017 7:26,Альтернативный рэп,24.02.2017
"Спаси, но не сохраняй",3:07,Anacondaz,Выходи за меня,19,2017,26.08.2017 7:26,Alternative Rap,24.02.2017
Зелёный чемодан,3:43,Макс Корж,Жить в кайф,23,2013,25.08.2017 1:27,Хип-хоп/рэп,21.10.2013
Wonderful Life,4:14,Hurts,Happiness,27,2010,24.08.2017 23:11,Pop,27.08.2010
Где я!,3:45,Макс Корж,Животный мир,8,2012,24.08.2017 1:11,Хип-хоп/рэп,01.05.2012
Тает дым,3:27,Макс Корж,Жить в кайф,22,2013,24.08.2017 1:10,Хип-хоп/рэп,21.10.2013
Тралики,4:07,Макс Корж,Жить в кайф,21,2013,24.08.2017 1:10,Хип-хоп/рэп,21.10.2013
Русская идея,4:43,Лёд 9,Искушение святого простолюдина,7,2013,24.08.2017 0:38,Альтернативный рэп,02.12.2013
На запад Солнца (feat. 25/17),3:58,Соль Земли,О лютой ненависти и святой любви,8,2017,23.08.2017 12:31,Хип-хоп/рэп,21.06.2017
С менталитетом меченосца,5:09,Соль Земли,О лютой ненависти и святой любви,5,2017,23.08.2017 11:10,Hip Hop/Rap,17.03.2017
Домашний,3:39,Макс Корж,Домашний (Полная версия),13,2014,22.08.2017 3:24,Hip Hop/Rap,14.07.2014
Флэт (feat. Foth),3:57,Макс Корж,Домашний (Полная версия),12,2014,22.08.2017 2:24,Hip Hop/Rap,06.11.2014
Слово пацана,5:14,Макс Корж,Домашний (Полная версия),43,2016,22.08.2017 1:24,Хип-хоп/рэп,11.03.2016
Ноябрь,4:27,Макс Корж,Домашний (Полная версия),50,2016,22.08.2017 1:24,Хип-хоп/рэп,11.03.2016
"Жги, сын!",4:31,Макс Корж,Домашний (Полная версия),35,2016,22.08.2017 1:24,Хип-хоп/рэп,11.03.2016
Бессонница,3:10,Макс Корж,Домашний (Полная версия),35,2015,22.08.2017 1:24,Хип-хоп/рэп,13.08.2015
Подними,2:32,Макс Корж,Домашний (Полная версия),14,2009,22.08.2017 1:24,Хип-хоп/рэп,01.01.2009
Amsterdam,4:06,Макс Корж,Домашний (Полная версия),26,2014,22.08.2017 1:24,Хип-хоп/рэп,06.11.2014
Пламенный свет,3:55,Макс Корж,Домашний (Полная версия),32,2014,22.08.2017 1:24,Хип-хоп/рэп,06.11.2014
Кто здесь папа?,2:13,Макс Корж,Домашний (Полная версия),16,2014,22.08.2017 1:24,Хип-хоп/рэп,06.11.2014
Не выдумывай,4:00,Макс Корж,Домашний (Полная версия),84,2014,22.08.2017 1:24,Hip Hop/Rap,27.06.2017
Кто здесь отец?,4:19,Макс Корж,Домашний (Полная версия),24,2014,22.08.2017 1:24,Хип-хоп/рэп,06.11.2014
Где я (DJ Selebrium Remix),4:11,Макс Корж,Домашний (Полная версия),19,2014,22.08.2017 1:24,Хип-хоп/рэп,06.11.2014
Соврал (feat. Mental affection),3:11,Егор Натс,Интернет-принц - EP,7,2017,19.08.2017 22:50,Хип-хоп/рэп,18.08.2017
Крутой чел,4:29,Макс Корж,"Малый повзрослел, Ч. 1",24,2016,19.08.2017 22:46,Hip Hop/Rap,25.11.2016
Эмилия,3:26,Макс Корж,"Малый повзрослел, Ч. 1",16,2016,19.08.2017 22:46,Hip Hop/Rap,28.11.2016
Интернет-принц,3:23,Егор Натс,Интернет-принц - EP,20,2017,19.08.2017 21:50,Хип-хоп/рэп,18.08.2017
"Не трогай, не обнимай (feat. Elastronauta)",3:53,Егор Натс,Интернет-принц - EP,16,2017,19.08.2017 21:50,Хип-хоп/рэп,18.08.2017
Я женюсь на девочке из аниме,3:13,Егор Натс,Интернет-принц - EP,14,2017,19.08.2017 21:50,Хип-хоп/рэп,18.08.2017
Своё заберу,3:55,Макс Корж,"Малый повзрослел, Ч. 1",43,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Малый повзрослел,3:27,Макс Корж,"Малый повзрослел, Ч. 1",36,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Маклауд,2:58,Макс Корж,"Малый повзрослел, Ч. 1",53,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Стилево,1:50,Макс Корж,"Малый повзрослел, Ч. 1",57,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Без косяка (feat. Лёха Лазько),2:43,Макс Корж,"Малый повзрослел, Ч. 1",18,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Настоящий,3:49,Макс Корж,"Малый повзрослел, Ч. 1",19,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Мой друг,3:33,Макс Корж,"Малый повзрослел, Ч. 1",36,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Бессонница (Zest Remix),2:56,Макс Корж,"Малый повзрослел, Ч. 1",42,2016,19.08.2017 21:46,Хип-хоп/рэп,25.11.2016
Rio (feat. Macklemore & Digital Farm Animals) [Remix],3:25,Netsky,Rio (feat. Macklemore & Digital Farm Animals) [Remix] - Single,6,2016,19.08.2017 13:30,Электроника,22.07.2016
Drug Dealer (feat. Ariana DeBoo),3:43,Macklemore,Drug Dealer (feat. Ariana DeBoo) - Single,7,2016,19.08.2017 13:30,Хип-хоп,11.10.2016
Glorious (feat. Skylar Grey),3:40,Macklemore,GEMINI,25,2017,19.08.2017 13:07,Hip Hop/Rap,22.09.2017
This Is the Life,3:04,Amy Macdonald,This Is the Life,13,2007,16.08.2017 11:37,Поп-музыка,30.07.2007
Призрачный доспех,3:12,Thomas Mraz,Do Not Shake the Spear - EP,8,2017,09.08.2017 16:21,R&B и соул,12.02.2017
Carry Me,4:25,Bombay Bicycle Club,"So Long, See You Tomorrow",24,2013,05.08.2017 15:47,Alternative,06.11.2013
Horror Show (feat. Danny Brown),3:34,DJ Shadow,The Mountain Has Fallen - EP,9,2017,31.07.2017 22:28,Хип-хоп/рэп,07.07.2017
Огонёк,4:27,Луна,Огонёк - Single,12,2017,31.07.2017 21:58,Поп-музыка,18.07.2017
i,5:36,Kendrick Lamar,To Pimp A Butterfly,9,2014,25.07.2017 8:18,Hip Hop/Rap,16.09.2014
King Kunta,3:55,Kendrick Lamar,To Pimp A Butterfly,29,2015,25.07.2017 7:18,Хип-хоп/рэп,16.03.2015
Wesley's Theory,4:47,Kendrick Lamar,To Pimp A Butterfly,9,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
For Free?,2:11,Kendrick Lamar,To Pimp A Butterfly,23,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
u,4:28,Kendrick Lamar,To Pimp A Butterfly,10,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
Alright,3:39,Kendrick Lamar,To Pimp A Butterfly,31,2015,25.07.2017 6:18,Hip Hop/Rap,16.03.2015
Hood Politics,4:53,Kendrick Lamar,To Pimp A Butterfly,6,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
How Much A Dollar Cost,4:22,Kendrick Lamar,To Pimp A Butterfly,7,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
Complexion (A Zulu Love),4:23,Kendrick Lamar,To Pimp A Butterfly,13,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
The Blacker the Berry,5:29,Kendrick Lamar,To Pimp A Butterfly,8,2015,25.07.2017 6:18,Хип-хоп/рэп,09.02.2015
You Ain't Gotta Lie (Momma Said),4:02,Kendrick Lamar,To Pimp A Butterfly,6,2015,25.07.2017 6:18,Хип-хоп/рэп,16.03.2015
Mortal Man,12:07,Kendrick Lamar,To Pimp A Butterfly,9,2015,25.07.2017 6:18,Hip Hop/Rap,16.03.2015
Backseat Freestyle,3:33,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",21,2012,23.07.2017 20:05,Hip Hop/Rap,22.10.2012
YAH.,2:40,Kendrick Lamar,DAMN.,23,2017,23.07.2017 19:23,Hip Hop/Rap,14.04.2017
GOD.,4:09,Kendrick Lamar,DAMN.,14,2017,23.07.2017 19:23,Хип-хоп/рэп,14.04.2017
DNA.,3:06,Kendrick Lamar,DAMN.,70,2017,23.07.2017 18:23,Hip Hop/Rap,14.04.2017
ELEMENT.,3:29,Kendrick Lamar,DAMN.,148,2017,23.07.2017 18:23,Hip Hop/Rap,14.04.2017
FEEL.,3:35,Kendrick Lamar,DAMN.,46,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
PRIDE.,4:35,Kendrick Lamar,DAMN.,65,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
HUMBLE.,2:57,Kendrick Lamar,DAMN.,83,2017,23.07.2017 18:23,Hip Hop/Rap,14.04.2017
LUST.,5:08,Kendrick Lamar,DAMN.,73,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
XXX. (FEAT. U2.),4:14,Kendrick Lamar,DAMN.,22,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
FEAR.,7:41,Kendrick Lamar,DAMN.,43,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
DUCKWORTH.,4:09,Kendrick Lamar,DAMN.,47,2017,23.07.2017 18:23,Хип-хоп/рэп,14.04.2017
Актрисы спят с поэтами,3:35,Обе Две,Мальчик (Акустика) - EP,6,2017,23.07.2017 9:11,Поп-музыка,23.06.2017
"Shake It Up (feat. E-40, MadeinTYO & 24hrs)",4:50,G-Eazy,"Shake It Up (feat. E-40, MadeinTYO & 24hrs) - Single",9,2017,23.07.2017 8:58,Hip Hop/Rap,26.05.2017
We Gon Be Alright,4:25,Joyner Lucas,508-507-2209,7,2017,23.07.2017 8:55,Хип-хоп/рэп,16.06.2017
Последняя дискотека (feat. БЦХ),2:45,Монеточка,Последняя дискотека (feat. БЦХ) - Single,3,2017,23.07.2017 8:14,Тин-поп,20.06.2017
House of Air,3:47,Brendan Maclean,funbang1,9,2016,23.07.2017 7:11,Поп-музыка,24.06.2016
Жив,3:45,DenDerty,MEAT ME,6,2017,19.07.2017 13:57,Breakbeat,19.06.2017
Shadow,3:24,TAPZ,Shadow - Single,4,2017,19.07.2017 13:46,Hip Hop/Rap,02.06.2017
Один (feat. Eecii McFly),3:07,Horus,Один (feat. Eecii McFly) - Single,13,2017,19.07.2017 13:25,Hip Hop/Rap,13.02.2017
On and On (Edit),3:46,Curtis Harding,On and On (Edit) - Single,6,2017,19.07.2017 13:15,R&B и соул,27.06.2017
Underground,3:28,Bassnectar & G Jones,"Reflective, Pt. 1 - EP",4,2017,19.07.2017 12:37,Электронная музыка,16.06.2017
Technology (feat. Tech N9ne),3:28,JL,Tech N9ne Presents JL - DIBKIS,6,2017,19.07.2017 12:34,Хип-хоп,30.06.2017
1 Night (feat. Charli XCX),3:28,Mura Masa,Mura Masa,7,2017,16.07.2017 16:19,Электронная музыка,17.03.2017
What If I Go? (feat. Bonzai),3:15,Mura Masa,Mura Masa,10,2017,16.07.2017 15:36,Электронная музыка,14.07.2017
Nuggets (feat. Bonzai),3:30,Mura Masa,Mura Masa,11,2017,16.07.2017 15:23,Electronic,14.07.2017
Love$Ick (feat. A$AP Rocky),3:12,Mura Masa,Mura Masa,11,2016,16.07.2017 15:18,Electronic,14.07.2017
Messy Love,3:46,Mura Masa,Mura Masa,17,2017,16.07.2017 15:18,Electronic,14.07.2017
Outro (feat. Leon Libre),2:46,Schokk,"Лёд, Часть 2",14,2017,14.07.2017 16:48,Hip Hop/Rap,14.07.2017
Вопросы,1:58,Schokk,"Лёд, Часть 2",6,2017,14.07.2017 15:48,Хип-хоп/рэп,14.07.2017
Мы наверняка (feat. Slim),3:12,Schokk,"Лёд, Часть 2",13,2017,14.07.2017 15:48,Хип-хоп/рэп,14.07.2017
Не об этом (feat. Idris),3:03,Schokk,"Лёд, Часть 2",9,2017,14.07.2017 15:48,Хип-хоп/рэп,14.07.2017
ННР (feat. Gera Berlin),3:38,Schokk,"Лёд, Часть 2",6,2017,14.07.2017 15:48,Хип-хоп/рэп,14.07.2017
ННР (feat. Gera Berlin),3:44,Schokk,"Лёд, Часть 2",2,2017,14.07.2017 15:48,Хип-хоп/рэп,29.06.2017
Dreams,4:46,The Game,The Documentary,24,2005,09.07.2017 13:37,Хип-хоп/рэп,18.01.2005
